eps,n,s0,H0rd,M_B,chi2_total,delta_lcdm,delta_eps0
-0.81,0.31000000000000005,0.9052194857129183,8889.592656105267,-19.20120506803125,2807.8548375152905,1035.3988375152906,1035.2911724450616
-0.8,0.30000000000000004,0.9034864471282219,8899.054528468941,-19.20382891771181,2767.6087892066944,995.1527892066945,995.0451241364656
-0.79,0.29000000000000004,0.9017091148701446,8908.7679291985,-19.206443690977125,2728.4475923304394,955.9915923304395,955.8839272602106
-0.78,0.28,0.8998861521691848,8918.728271210326,-19.209048943995505,2690.3545861994044,917.8985861994045,917.7909211291756
-0.77,0.27,0.8980161762293597,8928.93086432212,-19.211644184965245,2653.3131260016016,880.8571260016017,880.7494609313728
-0.76,0.26,0.8960977385441856,8939.371339553929,-19.214228967057856,2617.306588428364,844.8505884283643,844.7429233581354
-0.75,0.25,0.8941293536438565,8950.044874667892,-19.21680284702038,2582.318377150476,809.862377150476,809.7547120802471
-0.74,0.24,0.8921094543765404,8960.947237098122,-19.219365382806608,2548.331928146149,775.8759281461491,775.7682630759202
-0.73,0.22999999999999998,0.8900364300702615,8972.073952877934,-19.221916156684134,2515.3307148848266,742.8747148848267,742.7670498145978
-0.72,0.21999999999999997,0.8879086022453744,8983.420394471768,-19.224454733906764,2483.298253370486,710.8422533704859,710.734588300257
-0.71,0.20999999999999996,0.8857242248188659,8994.982173447826,-19.22698070580141,2452.218107048066,679.7621070480661,679.6544419778372
-0.7,0.19999999999999996,0.883481490179843,9006.754646960317,-19.22949364415686,2422.0738915763945,649.6178915763946,649.5102265061657
-0.69,0.18999999999999995,0.8811784971792033,9018.733576500912,-19.23199316443387,2392.8492794708936,620.3932794708937,620.2856144006648
-0.68,0.18000000000000005,0.8788132911438431,9030.914323493773,-19.23447885935471,2364.5280046192806,592.0720046192807,591.9643395490518
-0.67,0.17000000000000004,0.8763838189845921,9043.29262400909,-19.236950352716587,2337.09386667302,564.63786667302,564.5302016027911
-0.66,0.16000000000000003,0.873887957408493,9055.863675929912,-19.239407238336536,2310.530735317628,538.0747353176282,537.9670702473993
-0.65,0.15000000000000002,0.8713234799804351,9068.623397784428,-19.241849172109564,2284.8225544242455,512.3665544242456,512.2588893540167
-0.64,0.14,0.8686880784561676,9081.566995613535,-19.244275762930823,2259.9533460851653,487.4973460851654,487.3896810149365
-0.63,0.13,0.8659793421106594,9094.68998257002,-19.246686637477886,2235.9072145355635,463.4512145355636,463.3435494653347
-0.62,0.12,0.8631947523263266,9107.98791726747,-19.24908145808836,2212.668349963822,440.21234996382213,440.10468489359323
-0.61,0.10999999999999999,0.8603316955440703,9121.456071044257,-19.251459850543945,2190.22103221232,417.7650322123202,417.6573671420913
-0.6,0.09999999999999998,0.8573874076970588,9135.090250812984,-19.253821490528157,2168.5496343708355,396.0936343708356,395.9859693006067
-0.59,0.08999999999999997,0.8543590606971114,9148.885276228191,-19.256166016664874,2147.638626264146,375.18262626414594,375.07496119391703
-0.58,0.07999999999999996,0.8512436328821493,9162.837023168593,-19.25849312054211,2127.472577835719,355.0165778357193,354.9089127654904
-0.57,0.06999999999999995,0.84803801064099,9176.940688930012,-19.26080244920017,2108.0361624287907,335.5801624287908,335.4724973585619
-0.56,0.06000000000000005,0.8447389218606113,9191.191571422376,-19.26309369596095,2089.3141599664077,316.8581599664078,316.7504948961789
-0.55,0.050000000000000044,0.8413429437829216,9205.58491764995,-19.26536652924586,2071.2914600315135,298.83546003151355,298.72779496128464
-0.54,0.040000000000000036,0.8378464868006228,9220.116043707418,-19.267620655426786,2053.953064848473,281.497064848473,281.38939977824407
-0.53,0.030000000000000027,0.8342457941346171,9234.78012833705,-19.269855758635053,2037.2840921667266,264.8280921667267,264.7204270964978
-0.52,0.020000000000000018,0.8305369318099014,9249.572262054517,-19.272071535083608,2021.269778047824,248.81377804782414,248.70611297759524
-0.51,0.010000000000000009,0.8267157509590879,9264.487788384347,-19.27426770373684,2005.8954795563736,233.43947955637373,233.33181448614482
-0.5,0.0,0.8227779125286866,9279.521660508351,-19.276443976302094,1991.1466773557413,218.6906773557414,218.5830122855125
-0.49,-0.010000000000000009,0.8187188420491683,9294.669159306015,-19.27860008109498,1977.008978209095,204.55297820909504,204.44531313886614
-0.48,-0.020000000000000018,0.8145337564724142,9309.925054453473,-19.280735717535563,1963.468117386279,191.012117386279,190.90445231605008
-0.47,-0.030000000000000027,0.8102175795953386,9325.28455117326,-19.282850635290373,1950.5099609769727,178.0539609769728,177.9462959067439
-0.46,-0.03999999999999998,0.8057649985069628,9340.742430292377,-19.284944580965984,1938.1205081105313,165.66450811053141,165.5568430403025
-0.45,-0.04999999999999999,0.8011703857170562,9356.293807137023,-19.287017286039024,1926.2858930827767,153.82989308277683,153.72222801254793
-0.44,-0.06,0.796427815615305,9371.93340456023,-19.28906850660283,1914.9923873900323,142.53638739003236,142.42872231980346
-0.43,-0.07,0.7915310166592306,9387.65617897897,-19.291098000965217,1904.2264016706135,131.77040167061364,131.66273660038473
-0.42,-0.08000000000000002,0.7864733588839591,9403.456843094047,-19.2931055302903,1893.97448755393,121.51848755393007,121.41082248370117
-0.41,-0.09000000000000002,0.7812478226919498,9419.330158247616,-19.295090877943508,1884.2233394173988,111.76733941739894,111.65967434717004
-0.4,-0.09999999999999998,0.7758469558700553,9435.270957826664,-19.29705381287417,1874.9597960512979,102.50379605129797,102.39613098106906
-0.39,-0.10999999999999999,0.7702628691785733,9451.273728320022,-19.29899411154962,1866.1708422317179,93.71484223171797,93.60717716148906
-0.38,-0.12,0.7644871325078535,9467.333342478478,-19.30091158721169,1857.8436102017727,85.38761020177276,85.27994513154385
-0.37,-0.13,0.7585108050521506,9483.444314590404,-19.30280602508626,1849.9653810612465,77.50938106124659,77.40171599101768
-0.36,-0.14,0.7523243474209187,9499.601184450636,-19.304677238523194,1842.523586064926,70.06758606492599,69.95992099469709
-0.35,-0.15000000000000002,0.7459175453209357,9515.798677245068,-19.30652504780438,1835.5058078298114,63.04980782981147,62.942142759582566
-0.34,-0.15999999999999998,0.7392795186267076,9532.03105065008,-19.30834926117048,1828.8997814516224,56.4437814516225,56.336116381393595
