s0,H0rd,M_B,eps
0.4436803537116077,9893.389340045254,-19.34095543595462,-0.08495682483243683
0.4090883540370872,9973.4960007265,-19.34643919499029,-0.09251244201801737
0.5236479692161726,9878.497563537712,-19.342867761042836,-0.13751175278540956
0.3752573270105872,9911.995965482301,-19.34574308840146,-0.052814282095073106
0.5004792904285343,9879.651310005816,-19.34079267415787,-0.1297715991593516
0.13564475700645967,10057.628690343066,-19.353590637811987,-0.036047374996409635
0.5720186623688518,9826.052616754623,-19.33543513466629,-0.17365336757975383
0.473966581403341,9865.577032620975,-19.341284601517362,-0.0954112348580953
0.39237736474408347,9934.729972795609,-19.337320791821515,-0.0625120051479481
0.3560389870192428,9965.726733656684,-19.339184768220605,-0.048148394588108615
0.30318258696672873,9947.666553724765,-19.351666506202257,-0.028623094258144077
0.3810407418151764,9981.707105832915,-19.34796102893208,-0.06556779834122309
0.4604428712926465,9858.04251498619,-19.351696647007937,-0.0996403166799851
0.4635568365612095,9877.733682776312,-19.343021909487003,-0.09203651896345275
0.4517098446425827,9943.89255671642,-19.348314189879186,-0.10797547442711984
0.4999878570533438,9908.42683344165,-19.34368627229403,-0.12477478839612734
0.4544336820984536,9876.371476540757,-19.35110597340288,-0.09838281514191129
0.010377475788720107,10034.047186132402,-19.355888523784643,-0.00010002575929968574
0.38071458692238824,9953.768165619495,-19.345290840405642,-0.06652845523719833
0.42614437233210034,9890.592060810033,-19.348255608511444,-0.07888993669151345
0.31817152869663134,9966.889948999607,-19.353678862712798,-0.05135277654444973
0.516655975800806,9851.897969203772,-19.34725968233017,-0.14102642120212638
0.4391823062901383,9869.599821214728,-19.346297638564167,-0.08715845100311051
0.49510455927342034,9940.53049483714,-19.33733098142753,-0.1362264621118867
0.6073836256459048,9740.41466721549,-19.325792420158955,-0.18678874966339545
0.11343092597256516,10015.540822753546,-19.350096925690657,-0.020882903401372332
0.3646972956703176,9939.577781787066,-19.343347266256146,-0.0642419599163643
0.4217899105756053,9889.689014717316,-19.341390147448926,-0.07085644816954687
0.4545027963363043,9897.923803253674,-19.33859000470324,-0.09477171453502886
0.8786128289793287,8785.309099484897,-19.232456402421857,-0.6370566475749114
0.5071684785597392,9928.347923010462,-19.342391970809228,-0.14068344434511304
0.4550830582890619,9913.486474571888,-19.345272883993676,-0.0936245465398941
0.4446194862432527,9899.296216849318,-19.34181611881264,-0.0876490954701071
0.4090883540370872,9973.4960007265,-19.34643919499029,-0.09251244201801737
0.521205771254399,9883.699217178702,-19.342212623827823,-0.13487914219566194
0.3752573270105872,9911.995965482301,-19.34574308840146,-0.052814282095073106
0.5004792904285343,9879.651310005816,-19.34079267415787,-0.1297715991593516
0.14490887228769278,10075.181126782132,-19.355047664823765,-0.04237160663484488
0.5453750795963644,9836.792542264617,-19.337024603779916,-0.1523927199837205
0.4761794412765209,9862.811606123683,-19.341125614540353,-0.09612190202493132
0.39237736474408347,9934.729972795609,-19.337320791821515,-0.0625120051479481
0.3560389870192428,9965.726733656684,-19.339184768220605,-0.048148394588108615
0.3433739378978965,9924.761144337705,-19.351674209353142,-0.046773119363005225
0.3810407418151764,9981.707105832915,-19.34796102893208,-0.06556779834122309
0.4903723433754873,9850.554184257086,-19.34652632921023,-0.11822986725820542
0.4915740492743607,9842.430927365298,-19.341344898953068,-0.10102361145977609
0.4348672687865022,9946.235399004994,-19.347596944890114,-0.09814278155253492
0.4918798966012738,9906.55461095698,-19.342777834766895,-0.11942657664326951
0.440662496217296,9882.371698446146,-19.351176433522806,-0.09198331621493874
0.010377475788720107,10034.047186132402,-19.355888523784643,-0.00010002575929968574
0.3861927395290482,9948.470669274839,-19.34523240083087,-0.06799560598808199
0.42614437233210034,9890.592060810033,-19.348255608511444,-0.07888993669151345
0.35041216857576707,9962.0867437061,-19.350699960743015,-0.06681841302099865
0.516655975800806,9851.897969203772,-19.34725968233017,-0.14102642120212638
0.4401452283719117,9860.863022721935,-19.34674801755915,-0.08882081127459308
0.49510455927342034,9940.53049483714,-19.33733098142753,-0.1362264621118867
0.6073836256459048,9740.41466721549,-19.325792420158955,-0.18678874966339545
0.11343092597256516,10015.540822753546,-19.350096925690657,-0.020882903401372332
0.36356141816549203,9943.008244640776,-19.34280119102679,-0.0621306562466185
0.42619285073128843,9884.603371645504,-19.34263249439466,-0.07498335190794223
0.4545027963363043,9897.923803253674,-19.33859000470324,-0.09477171453502886
0.8786128289793287,8785.309099484897,-19.232456402421857,-0.6370566475749114
0.4851354795300178,9916.445284110006,-19.342457415882844,-0.12280682996445627
0.45873068014377655,9907.577445272515,-19.34485354368958,-0.09280930196214666
0.43577395505913213,9900.52452266422,-19.34470348070755,-0.08127437399944606
0.4090883540370872,9973.4960007265,-19.34643919499029,-0.09251244201801737
0.521205771254399,9883.699217178702,-19.342212623827823,-0.13487914219566194
0.3757233907067768,9911.786265490775,-19.345774656487706,-0.05308251670776999
0.48725131906389263,9889.510511241348,-19.342098158878134,-0.11923873873390181
