z,delta,f,fsigma8
51.729498816257035,0.01879804434513,0.9965249687678651,0.019650988320600003
52.650469685740106,0.018476466329267437,0.9965254347838544,0.01931482803039333
53.587526187771914,0.01816038940348609,0.9965258859756937,0.018984417845727897
54.54094927323053,0.017849719469455214,0.9965263235303183,0.01865965944329604
55.51102480006849,0.017544364037686895,0.9965267485920248,0.018340456178650426
56.498043619019455,0.017244232200321754,0.9965271622659098,0.01802671305796727
57.50230166080195,0.016949234604506456,0.9965275656214991,0.017718336710419166
58.52410002484591,0.01665928342637096,0.9965279596966694,0.017415235361167677
59.56374506956954,0.016374292338620755,0.9965283454984987,0.017117318797616302
60.62154850423211,0.01609417649439919,0.9965287239992598,0.01682449835258359
61.69782748239184,0.015818852503704288,0.9965290961453268,0.01653668687990975
62.79290469699558,0.015548238400052095,0.9965294628604799,0.016253798719756025
63.907108477129526,0.01528225361688996,0.9965298250478251,0.015975749674064933
65.04077288645982,0.015020818964286912,0.9965301835917257,0.015702456982303825
66.19423782339233,0.014763856605905993,0.9965305393597448,0.015433839297497011
67.3678491229821,0.014511290036263612,0.9965308932045923,0.015169816662552094
68.5619586606223,0.014263044058281,0.9965312459660728,0.014910310486885877
69.77692445754488,0.014019044761132528,0.9965315984730336,0.014655243523355186
71.01311078816302,0.013779219498396243,0.9965319515453046,0.014404539845498306
72.27088828928935,0.013543496866511257,0.9965323059956324,0.014158124825092194
73.55063407126099,0.013311806683547292,0.9965326626316009,0.013915925110031124
74.85273183100595,0.013084079968291213,0.9965330222575413,0.013677868602532131
76.17757196708419,0.012860248919655589,0.996533385676425,0.013443884437672705
77.52555169673798,0.012640246896414322,0.996533753691741,0.013213902962266159
78.89707517498672,0.012424008397270288,0.9965341271093564,0.012987855714080163
80.29255361580164,0.012211469041260093,0.9965345067393602,0.012765675401403923
81.71240541539744,0.012002565548500753,0.9965348933978917,0.012547295882969278
83.15705627767662,0.01179723572128359,0.9965352879089542,0.012332652148231423
84.62693934186557,0.011595418425520027,0.9965356911062176,0.01212168029801447
86.12249531237934,0.011397053572544558,0.9965361038348144,0.011914317525527433
87.64417259095492,0.011202082101279728,0.9965365269531322,0.011710502097756044
89.19242741109231,0.011010445960768183,0.9965369613346121,0.011510173337235845
90.7677239748437,0.010822088093076799,0.9965374078695566,0.011313271604211986
92.37053459199187,0.010636952416577866,0.9965378674669604,0.011119738279191202
94.00133982165913,0.010454983809586777,0.996538341056372,0.010929515745864654
95.66062861639045,0.01027612808933654,0.9965388295894063,0.010742547369150118
97.34889846875194,0.010100332003664197,0.9965393340425676,0.010558777486535362
99.06665556049094,0.009927543214319353,0.9965398554191196,0.010378151390650544
100.81441491430058,0.009757710276666295,0.996540394750648,0.010200615308065666
102.59270054823541,0.009590782624867457,0.9965409530991648,0.010026116383822293
104.40204563282387,0.009426710557241182,0.9965415315592658,0.009854602666146236
106.2429926509251,0.009265445221796904,0.9965421312603433,0.009686023091344538
108.11609356037728,0.009106938601950906,0.9965427533688568,0.009520327468890087
110.02190995948772,0.008951143502425676,0.9965433990906614,0.00935746646669709
111.9610132554125,0.008798013535336126,0.9965440696733998,0.009197391596590908
113.9339848354771,0.00864750310646575,0.9965447664089606,0.009040055199975465
115.94141624149017,0.008499567401735731,0.9965454906360071,0.008885410433701543
117.98390934710076,0.008354162373870353,0.996546243742575,0.008733411256139396
120.0620765382539,0.008211244729261625,0.9965470271687584,0.00858401241345893
122.17654089679786,0.008070771915036388,0.9965478424094699,0.008437169426120796
124.32793638729837,0.007932702106328944,0.9965486910172996,0.008292838575581732
126.51690804711514,0.007796994193762423,0.9965495746054657,0.008150976891217524
128.74411217979963,0.00766360777114187,0.9965504948508742,0.00801154213746679
131.01021655186887,0.007532503123362386,0.9965514534972901,0.007874492801199116
133.31590059301774,0.007403641214535217,0.9965524523586319,0.007739788079310647
135.66185559982722,0.007276983676335127,0.9965534933223993,0.007607387866550654
138.0487849430308,0.0071524927965720365,0.9965545783532462,0.007477252743582308
140.4774042784011,0.007030131507990122,0.9965557094967106,0.007349343965280992
142.94844176131977,0.00690986337729749,0.9965568888831138,0.00722362344927353
145.46263826509517,0.006791652594429526,0.9965581187316485,0.007100053764721604
148.02074760309256,0.006675463962049121,0.9965594013546654,0.006978598121352759
150.62353675474526,0.006561262885286769,0.9965607391621828,0.006859220358742221
153.27178609551217,0.00644901535898835,0.9965621346695445,0.006741884933008995
155.96628963085178,0.006338687960760389,0.996563590495896,0.006626556909508035
158.70785523428373,0.006230247842952772,0.9965651093673792,0.006513201954445402
161.49730488960734,0.006123662718652707,0.9965666941283144,0.006401786320283572
164.33547493735102,0.006018900852391634,0.9965683477462494,0.006292276836029379
167.22321632552652,0.0059159310509701276,0.9965700733172497,0.006184640897645507
170.1613948647618,0.005814722654392382,0.996571874071463,0.006078846458576869
173.15089148789173,0.005715245526912222,0.9965737533789614,0.0059748620203938525
176.19260251408124,0.005617470048192767,0.9965757147558739,0.005872656623554624
179.28743991756244,0.005521367104581659,0.9965777618708259,0.00577219983828851
