Om,gamma,MB,H0rd
0.3516204374380742,2.8694613114843976,-19.34462112147763,9986.743937706677
0.3368721117264622,2.9190321702408832,-19.34871494819753,10024.083649813954
0.39025061357262153,2.816935910297618,-19.34780101792696,9822.592651598938
0.3487747122851967,2.907267980476397,-19.350857577029785,9920.77610005801
0.3246842254872679,2.9332298188290213,-19.359579807097766,10099.69549247489
0.4122630364146219,2.749296316909369,-19.345037383804566,9829.417377070346
0.3698681607855421,2.858393046556681,-19.33897828844193,9930.29542463015
0.3463273853548836,2.875361133117038,-19.353722392656238,10050.340263981827
0.31493749663615095,2.945088464418813,-19.368349466905556,10164.328191289478
0.3648493464924687,2.8522356227768504,-19.350516017629964,9973.123676965215
0.36622638124940676,2.8271066493289956,-19.35052238165999,9993.831395859437
0.4226909030494538,2.7321212468450486,-19.33015039727347,9815.111766352611
0.36591619729348107,2.8262739927445772,-19.350162331632358,10018.953073759872
0.35909976005668803,2.8520154509365616,-19.345896742911506,9974.356400726874
0.37634880149874883,2.835712995003226,-19.358212366007248,9851.032908140716
0.3751890469857512,2.8351798132900154,-19.345453963604243,9884.594667844856
0.3266191306168733,2.954065904970913,-19.354696520776745,10015.78016076655
0.35608098364504803,2.8788882941701126,-19.349061109536873,9973.846846263094
0.3659604095141226,2.827893603616709,-19.352321684640305,10021.120396704051
0.37379265583559473,2.8954348389264917,-19.34559975532579,9855.636441778008
0.32853571476314125,2.9758476374583207,-19.34759787193168,9945.995294155244
0.3399007207942734,2.9007511792599296,-19.35248380932113,10044.98992730882
0.32600522740821036,2.928410704747295,-19.358012102780183,10101.846594439367
